#title = mean sea level anomaly Atlantic Ocean (Annual signals retained) 
#institution = NOAA/Laboratory for Satellite Altimetry 
#references = NOAA Sea Level Rise (http://www.star.nesdis.noaa.gov/sod/lsa/SeaLevelRise/) and Radar Altimeter Database System (http://www.deos.tudelft.nl/altim/rads/) 
#comment = Data use policy: In publications, presentations, or on web pages based on LSA data the following acknowledgment should be included: 'Altimetry data are provided by NOAA Laboratory for Satellite Altimetry.' 
#trend = 3.11 mm/year (no glacial isostatic adjustment correction) 
year,TOPEX/Poseidon,Jason-1,Jason-2,Jason-3
1992.9615,-15.81000,,,
1992.9870,-10.71000,,,
1993.0128,-12.71000,,,
1993.0413,-10.31000,,,
1993.0663,-19.51000,,,
1993.0976,-23.41000,,,
1993.1213,-26.01000,,,
1993.1498,-25.01000,,,
1993.1768,-24.11000,,,
1993.2040,-22.01000,,,
1993.2311,-34.61000,,,
1993.2855,-27.71000,,,
1993.3126,-29.01000,,,
1993.3397,-29.71000,,,
1993.3669,-20.61000,,,
1993.3940,-28.61000,,,
1993.4212,-41.41000,,,
1993.4484,-32.01000,,,
1993.4755,-39.01000,,,
1993.5024,-31.01000,,,
1993.5297,-29.61000,,,
1993.5840,-23.91000,,,
1993.6118,-25.91000,,,
1993.6385,-13.61000,,,
1993.6655,-12.81000,,,
1993.6927,-7.11000,,,
1993.7193,-0.81000,,,
1993.7470,-2.91000,,,
1993.7742,2.89000,,,
1993.8012,-1.11000,,,
1993.8556,9.59000,,,
1993.8828,1.89000,,,
1993.9101,-0.11000,,,
1993.9370,-0.81000,,,
1993.9643,-4.21000,,,
1993.9911,-1.71000,,,
1994.0185,-14.21000,,,
1994.0454,-21.41000,,,
1994.0726,-31.61000,,,
1994.0999,-24.91000,,,
1994.1270,-24.51000,,,
1994.1542,-9.51000,,,
1994.1812,-19.01000,,,
1994.2356,-29.41000,,,
1994.2628,-26.91000,,,
1994.2900,-26.41000,,,
1994.3173,-23.11000,,,
1994.3442,-21.51000,,,
1994.3713,-20.31000,,,
1994.3985,-15.71000,,,
1994.4256,-26.71000,,,
1994.4527,-26.31000,,,
1994.5070,-12.61000,,,
1994.5342,-43.71000,,,
1994.5615,-46.01000,,,
1994.5886,-21.51000,,,
1994.6158,-19.41000,,,
1994.6429,-14.71000,,,
1994.6701,-8.81000,,,
1994.6972,-2.71000,,,
1994.7243,-7.01000,,,
1994.7513,7.39000,,,
1994.7784,0.69000,,,
1994.8058,7.09000,,,
1994.8328,4.49000,,,
1994.8872,7.19000,,,
1994.9144,1.59000,,,
1994.9416,-0.21000,,,
1994.9688,-6.41000,,,
1994.9959,-10.61000,,,
1995.0230,-10.21000,,,
1995.0501,-23.91000,,,
1995.0772,-25.51000,,,
1995.1044,-21.81000,,,
1995.1315,-12.11000,,,
1995.1585,-2.11000,,,
1995.2129,-22.81000,,,
1995.2402,-27.31000,,,
1995.2673,-15.71000,,,
1995.2945,-10.11000,,,
1995.3214,-23.91000,,,
1995.3759,-10.71000,,,
1995.4031,-13.11000,,,
1995.4301,-18.51000,,,
1995.4573,-18.61000,,,
1995.4843,-26.01000,,,
1995.5388,-20.21000,,,
1995.5659,-24.71000,,,
1995.5930,-17.21000,,,
1995.6202,3.79000,,,
1995.6474,-4.51000,,,
1995.6742,-5.51000,,,
1995.7017,-4.61000,,,
1995.7288,7.39000,,,
1995.7560,17.09000,,,
1995.7830,10.29000,,,
1995.8374,2.99000,,,
1995.8646,8.19000,,,
1995.8902,8.89000,,,
1995.9460,15.29000,,,
1995.9732,7.59000,,,
1996.0001,-10.71000,,,
1996.0274,-11.11000,,,
1996.0538,-16.21000,,,
1996.0817,-6.91000,,,
1996.1088,-11.31000,,,
1996.1635,-9.01000,,,
1996.1902,-10.61000,,,
1996.2175,-17.91000,,,
1996.2445,-20.01000,,,
1996.2718,-14.21000,,,
1996.2990,-23.91000,,,
1996.3261,-19.41000,,,
1996.3532,-16.91000,,,
1996.3803,-4.51000,,,
1996.4075,-2.61000,,,
1996.4345,-28.81000,,,
1996.4889,-32.01000,,,
1996.5161,-19.31000,,,
1996.5432,-5.41000,,,
1996.5705,3.49000,,,
1996.5976,-19.21000,,,
1996.6249,-16.21000,,,
1996.6518,-8.01000,,,
1996.6790,-9.61000,,,
1996.7055,-3.61000,,,
1996.7339,2.99000,,,
1996.7603,15.49000,,,
1996.8148,23.69000,,,
1996.8419,16.49000,,,
1996.8691,18.19000,,,
1996.8962,3.59000,,,
1996.9234,-3.41000,,,
1996.9506,-3.11000,,,
1996.9774,-9.81000,,,
1997.0048,-9.71000,,,
1997.0320,2.69000,,,
1997.0591,12.19000,,,
1997.0861,-2.31000,,,
1997.1406,-28.91000,,,
1997.1675,-21.71000,,,
1997.1948,-6.21000,,,
1997.2219,-11.81000,,,
1997.2491,-29.71000,,,
1997.2763,-28.81000,,,
1997.3034,-21.81000,,,
1997.3305,-15.41000,,,
1997.3578,-7.31000,,,
1997.3847,-8.21000,,,
1997.4119,-18.91000,,,
1997.4662,-26.81000,,,
1997.4933,-22.71000,,,
1997.5205,-24.61000,,,
1997.5477,-16.61000,,,
1997.5748,-20.81000,,,
1997.6291,-19.81000,,,
1997.6563,0.59000,,,
1997.6832,7.19000,,,
1997.7107,10.19000,,,
1997.7377,2.89000,,,
1997.7921,18.09000,,,
1997.8192,13.09000,,,
1997.8464,19.19000,,,
1997.8735,18.89000,,,
1997.9006,8.49000,,,
1997.9278,-10.91000,,,
1997.9550,-8.31000,,,
1997.9821,-6.21000,,,
1998.0087,-2.81000,,,
1998.0364,7.09000,,,
1998.0907,-19.61000,,,
1998.1178,-10.41000,,,
1998.1449,-11.31000,,,
1998.1722,-5.31000,,,
1998.1992,0.99000,,,
1998.2265,-19.61000,,,
1998.2536,-16.61000,,,
1998.2795,-13.81000,,,
1998.3078,-12.71000,,,
1998.3349,-10.71000,,,
1998.3620,-0.71000,,,
1998.4162,-29.61000,,,
1998.4436,-34.41000,,,
1998.4707,-17.01000,,,
1998.4979,-3.21000,,,
1998.5251,7.29000,,,
1998.5521,5.49000,,,
1998.6065,-8.71000,,,
1998.6336,3.59000,,,
1998.6607,10.69000,,,
1998.6879,15.99000,,,
1998.7151,17.69000,,,
1998.7423,2.19000,,,
1998.7691,13.09000,,,
1998.8237,33.39000,,,
1998.8508,20.79000,,,
1998.8779,7.89000,,,
1998.9048,-4.61000,,,
1998.9323,-5.51000,,,
1998.9595,11.99000,,,
1998.9866,15.09000,,,
1999.0137,14.79000,,,
1999.0407,-5.51000,,,
1999.0952,1.49000,,,
1999.1261,12.49000,,,
1999.1494,4.49000,,,
1999.1766,-2.01000,,,
1999.2038,-4.21000,,,
1999.2309,-33.41000,,,
1999.2580,-23.31000,,,
1999.2850,-0.61000,,,
1999.3395,-10.01000,,,
1999.3666,-21.01000,,,
1999.3937,-35.41000,,,
1999.4209,-18.81000,,,
1999.4481,-11.11000,,,
1999.4752,-9.71000,,,
1999.5024,-7.61000,,,
1999.5294,-11.81000,,,
1999.5567,-13.51000,,,
1999.5839,0.89000,,,
1999.6109,-2.31000,,,
1999.6381,7.79000,,,
1999.6924,3.29000,,,
1999.7196,7.79000,,,
1999.7465,14.49000,,,
1999.7739,12.19000,,,
1999.8012,15.79000,,,
1999.8282,10.39000,,,
1999.8554,6.99000,,,
1999.8826,6.19000,,,
1999.9096,9.79000,,,
1999.9640,11.49000,,,
1999.9911,-2.01000,,,
2000.0181,6.99000,,,
2000.0453,13.39000,,,
2000.0725,8.89000,,,
2000.0995,1.59000,,,
2000.1268,4.99000,,,
2000.1539,-9.61000,,,
2000.1811,-14.81000,,,
2000.2082,-24.01000,,,
2000.2352,-15.41000,,,
2000.2896,-1.81000,,,
2000.3168,-5.31000,,,
2000.3438,-17.31000,,,
2000.3711,-14.91000,,,
2000.3982,-11.81000,,,
2000.4253,-7.51000,,,
2000.4526,-10.31000,,,
2000.4797,-24.21000,,,
2000.5068,-23.31000,,,
2000.5339,-12.71000,,,
2000.5883,0.19000,,,
2000.6151,-5.51000,,,
2000.6426,-8.21000,,,
2000.6698,-10.01000,,,
2000.6969,7.49000,,,
2000.7238,10.99000,,,
2000.7513,11.39000,,,
2000.7784,0.69000,,,
2000.8054,18.49000,,,
2000.8598,11.99000,,,
2000.8863,11.39000,,,
2000.9147,11.09000,,,
2000.9413,6.99000,,,
2000.9684,5.39000,,,
2000.9956,3.69000,,,
2001.0225,3.59000,,,
2001.0771,10.29000,,,
2001.1041,3.49000,,,
2001.1312,3.69000,,,
2001.1584,-3.31000,,,
2001.1855,-2.31000,,,
2001.2127,-2.41000,,,
2001.2398,-7.51000,,,
2001.2670,-12.51000,,,
2001.2941,-12.91000,,,
2001.3212,-20.51000,,,
2001.3485,-10.01000,,,
2001.3755,-16.41000,,,
2001.4027,-17.41000,,,
2001.4299,-20.21000,,,
2001.4570,-21.41000,,,
2001.4842,-14.31000,,,
2001.5113,-3.61000,,,
2001.5385,-1.21000,,,
2001.5657,2.99000,,,
2001.5927,-1.71000,,,
2001.6199,-13.71000,,,
2001.6471,-5.61000,,,
2001.6741,6.29000,,,
2001.7012,18.89000,,,
2001.7286,20.39000,,,
2001.7557,17.49000,,,
2001.7830,17.49000,,,
2001.8100,23.19000,,,
2001.8371,32.09000,,,
2001.8643,31.49000,,,
2001.8919,17.69000,,,
2001.9186,9.19000,,,
2001.9458,2.99000,,,
2001.9729,14.89000,,,
2002.0000,23.39000,,,
